date,wdw_ticket_season,dayofweek,dayofyear,weekofyear,monthofyear,year,season,holiday,wdwticketseason,wdwracen,wdweventn,wdwevent,wdwrace,wdwseason,wdwmaxtemp,wdwmintemp,wdwmeantemp,mkeventn,mkevent,epeventn,epevent,hseventn,hsevent,akeventn,akevent,holidayj,insession,insession_enrollment,insession_wdw,insession_dlr,insession_sqrt_wdw,insession_sqrt_dlr,insession_california,insession_dc,insession_central_fl,insession_drive1_fl,insession_drive2_fl,insession_drive_ca,insession_florida,insession_mardi_gras,insession_midwest,insession_ny_nj,insession_ny_nj_pa,insession_new_england,insession_new_jersey,insession_nothwest,insession_planes,insession_socal,insession_southwest,mkemhmorn,mkemhmyest,mkemhmtom,mkemheve,mkhoursemh,mkhoursemhyest,mkhoursemhtom,mkemheyest,mkemhetom,epemhmorn,epemhmyest,epemhmtom,epemheve,epemheyest,epemhetom,ephoursemh,ephoursemhyest,ephoursemhtom,hsemhmorn,hsemhmyest,hsemhmtom,hsemheve,hsemheyest,hsemhetom,hshoursemh,hshoursemhyest,hshoursemhtom,akemhmorn,akemhmyest,akemhmtom,akemheve,akemheyest,akemhetom,akhoursemh,akhoursemhyest,akhoursemhtom,mkopen,mkclose,mkhours,mkemhopen,mkemhclose,mkopenyest,mkcloseyest,mkhoursyest,mkopentom,mkclosetom,mkhourstom,epopen,epclose,ephours,epemhopen,epemhclose,epopenyest,epcloseyest,ephoursyest,epopentom,epclosetom,ephourstom,hsopen,hsclose,hshours,hsemhopen,hsemhclose,hsopenyest,hscloseyest,hshoursyest,hsopentom,hsclosetom,hshourstom,akopen,akclose,akhours,akemhopen,akemhclose,akopenyest,akcloseyest,akhoursyest,akopentom,akclosetom,akhourstom,weather_wdwhigh,weather_wdwlow,weather_wdwprecip,capacitylost_mk,capacitylost_ep,capacitylost_hs,capacitylost_ak,capacitylostwgt_mk,capacitylostwgt_ep,capacitylostwgt_hs,capacitylostwgt_ak,mkprdday,mkprddt1,mkprddt2,mkprddn,mkprdngt,mkprdnt1,mkprdnt2,mkprdnn,mkfirewk,mkfiret1,mkfiret2,mkfiren,epfirewk,epfiret1,epfiret2,epfiren,hsprdday,hsprddt1,hsprddn,hsfirewk,hsfiret1,hsfiret2,hsfiren,hsshwngt,hsshwnt1,hsshwnt2,hsshwnn,hsfirewks,akprdday,akprddt1,akprddt2,akprddn,akfiren,akshwngt,akshwnt1,akshwnt2,akshwnn
2018-01-01,peak,2,0,0,1,2018,CHRISTMAS PEAK,1,peak,,,0,0,CHRISTMAS PEAK,58.63,42.49,50.56,,0,,0,,0,,0,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,1,0,0,15.0,18.0,16.0,0,0,0,0,0,1,0,0,14.0,17.0,12.0,0,0,1,0,0,0,12.0,15.0,13.0,0,1,0,0,0,0,12.0,14.0,12.0,28800,82800,15.0,28800,82800,28800,90000,17.0,28800,86400,16.0,32400,75600,12.0,32400,82800,28800,90000,17.0,32400,75600,12.0,32400,75600,12.0,32400,75600,32400,86400,15.0,32400,75600,12.0,28800,72000,12.0,28800,72000,28800,75600,13.0,28800,72000,12.0,70.3,50.2,0.12,433057,380763,301871,231777,42582443,36666337,28771129,22775123,1,54000.0,,Disney Festival of Fantasy Parade,0,,,,1,75600.0,,Happily Ever After,1,75600.0,,IllumiNations: Reflections of Earth,0,,,1,72000.0,,Star Wars: A Galactic Spectacular,1,68400.0,,Fantasmic!,1,0,,,,,2,66600.0,71100.0,Rivers of Light
2018-01-02,peak,3,1,0,1,2018,CHRISTMAS,0,peak,,,0,0,CHRISTMAS,53.65,43.58,48.61,,0,,0,,0,,0,,25%,26%,11%,3%,21%,14%,7%,97%,8%,0%,8%,9%,0%,0%,3%,100%,86%,64%,100%,78%,0%,0%,27%,0,0,0,0,16.0,15.0,16.0,0,1,0,0,0,0,1,0,12.0,14.0,12.0,1,0,0,0,0,0,13.0,12.0,12.0,0,0,0,0,0,0,12.0,12.0,12.0,28800,86400,16.0,28800,86400,28800,82800,15.0,28800,86400,16.0,32400,75600,12.0,32400,75600,32400,75600,12.0,32400,75600,12.0,32400,75600,12.0,28800,75600,32400,75600,12.0,32400,75600,12.0,28800,72000,12.0,28800,72000,28800,72000,12.0,28800,72000,12.0,70.3,50.0,0.12,433057,380763,301871,233577,42582443,36666337,28771129,22787723,1,54000.0,,Disney Festival of Fantasy Parade,0,,,,1,75600.0,,Happily Ever After,1,75600.0,,IllumiNations: Reflections of Earth,0,,,1,72000.0,,Star Wars: A Galactic Spectacular,1,68400.0,,Fantasmic!,1,0,,,,,2,66600.0,71100.0,Rivers of Light
2018-01-03,peak,4,2,0,1,2018,CHRISTMAS,0,peak,marwk,,0,1,CHRISTMAS,51.11,36.0,43.56,,0,,0,,0,,0,,41%,40%,16%,6%,32%,23%,14%,100%,8%,3%,19%,14%,0%,13%,46%,100%,100%,100%,100%,78%,17%,6%,42%,0,0,0,1,16.0,16.0,16.0,0,0,0,0,1,0,0,0,12.0,12.0,13.0,0,1,0,0,0,0,12.0,13.0,12.0,0,0,0,0,0,0,12.0,12.0,12.0,28800,86400,16.0,28800,93600,28800,86400,16.0,28800,86400,16.0,32400,75600,12.0,32400,75600,32400,75600,12.0,32400,75600,12.0,32400,75600,12.0,32400,75600,32400,75600,12.0,32400,75600,12.0,28800,72000,12.0,28800,72000,28800,72000,12.0,28800,72000,12.0,70.3,49.9,0.07,433057,380763,301871,233577,42582443,36666337,28771129,22787723,1,54000.0,,Disney Festival of Fantasy Parade,0,,,,1,75600.0,,Happily Ever After,1,75600.0,,IllumiNations: Reflections of Earth,0,,,1,72000.0,,Star Wars: A Galactic Spectacular,1,68400.0,,Fantasmic!,1,0,,,,,2,66600.0,71100.0,Rivers of Light
2018-01-04,regular,5,3,0,1,2018,CHRISTMAS,0,regular,marwk,,0,1,CHRISTMAS,52.66,31.38,42.02,,0,,0,,0,,0,,50%,50%,32%,14%,43%,32%,20%,100%,24%,25%,39%,18%,7%,35%,51%,100%,100%,100%,100%,78%,34%,13%,42%,0,0,1,0,16.0,16.0,16.0,1,0,1,0,0,0,0,0,13.0,12.0,12.0,0,0,0,0,0,0,12.0,12.0,12.0,0,0,0,0,0,0,12.0,12.0,12.0,28800,86400,16.0,28800,86400,28800,86400,16.0,32400,86400,15.0,32400,75600,12.0,28800,75600,32400,75600,12.0,32400,75600,12.0,32400,75600,12.0,32400,75600,32400,75600,12.0,32400,75600,12.0,28800,72000,12.0,28800,72000,28800,72000,12.0,28800,72000,12.0,70.3,49.8,0.12,433057,380763,301871,233577,42582443,36666337,28771129,22787723,1,54000.0,,Disney Festival of Fantasy Parade,0,,,,1,75600.0,,Happily Ever After,1,75600.0,,IllumiNations: Reflections of Earth,0,,,1,72000.0,,Star Wars: A Galactic Spectacular,1,68400.0,,Fantasmic!,1,0,,,,,2,66600.0,71100.0,Rivers of Light
2018-01-05,regular,6,4,0,1,2018,CHRISTMAS,0,regular,marwk,,0,1,CHRISTMAS,54.29,32.83,43.56,,0,,0,,0,,0,,49%,50%,32%,14%,43%,32%,20%,100%,24%,25%,39%,18%,7%,35%,51%,100%,100%,100%,100%,78%,34%,13%,42%,1,0,0,0,16.0,16.0,14.0,0,0,0,1,0,0,0,0,12.0,13.0,12.0,0,0,0,0,0,0,12.0,12.0,12.0,0,0,1,0,0,0,12.0,12.0,13.0,32400,86400,15.0,28800,86400,28800,86400,16.0,32400,82800,14.0,32400,75600,12.0,32400,75600,32400,75600,12.0,32400,75600,12.0,32400,75600,12.0,32400,75600,32400,75600,12.0,32400,75600,12.0,28800,72000,12.0,28800,72000,28800,72000,12.0,28800,72000,12.0,70.3,49.6,0.12,433057,380763,301871,233577,42582443,36666337,28771129,22787723,1,54000.0,,Disney Festival of Fantasy Parade,0,,,,1,75600.0,,Happily Ever After,1,75600.0,,IllumiNations: Reflections of Earth,0,,,1,72000.0,,Star Wars: A Galactic Spectacular,1,68400.0,,Fantasmic!,1,0,,,,,2,66600.0,71100.0,Rivers of Light
2018-01-06,regular,7,5,0,1,2018,CHRISTMAS,0,regular,marwk,,0,1,CHRISTMAS,56.25,37.29,46.77,,0,,0,,0,,0,,49%,50%,32%,14%,43%,32%,20%,100%,24%,25%,39%,18%,7%,35%,51%,100%,100%,100%,100%,78%,34%,13%,42%,0,1,0,0,14.0,16.0,12.0,0,0,0,0,0,0,0,0,12.0,12.0,12.0,0,0,1,0,0,0,12.0,12.0,13.0,1,0,0,0,0,0,13.0,12.0,11.0,32400,82800,14.0,32400,82800,32400,86400,15.0,32400,75600,12.0,32400,75600,12.0,32400,75600,32400,75600,12.0,32400,75600,12.0,32400,75600,12.0,32400,75600,32400,75600,12.0,32400,75600,12.0,28800,72000,12.0,25200,72000,28800,72000,12.0,32400,72000,11.0,70.2,49.5,0.12,433057,380763,301871,233577,42582443,36666337,28771129,22787723,1,54000.0,,Disney Festival of Fantasy Parade,0,,,,1,75600.0,,Happily Ever After,1,75600.0,,IllumiNations: Reflections of Earth,0,,,1,72000.0,,Star Wars: A Galactic Spectacular,1,68400.0,,Fantasmic!,1,0,,,,,2,66600.0,71100.0,Rivers of Light
2018-01-07,regular,1,6,1,1,2018,CHRISTMAS,0,regular,marwk,,0,1,CHRISTMAS,65.21,40.96,53.08,,0,,0,,0,,0,,85%,88%,90%,95%,88%,91%,93%,100%,89%,82%,86%,92%,77%,82%,100%,100%,100%,100%,100%,100%,82%,91%,94%,0,0,0,0,12.0,14.0,11.0,0,0,0,0,0,0,0,0,12.0,12.0,12.0,1,0,0,0,0,0,13.0,12.0,11.0,0,1,1,0,0,0,11.0,13.0,12.0,32400,75600,12.0,32400,75600,32400,82800,14.0,32400,72000,11.0,32400,75600,12.0,32400,75600,32400,75600,12.0,32400,75600,12.0,32400,75600,12.0,28800,75600,32400,75600,12.0,32400,72000,11.0,32400,72000,11.0,32400,72000,28800,72000,12.0,32400,72000,11.0,70.3,49.5,0.12,433057,380763,301871,233577,42582443,36666337,28771129,22787723,1,54000.0,,Disney Festival of Fantasy Parade,0,,,,1,72000.0,,Happily Ever After,1,75600.0,,IllumiNations: Reflections of Earth,0,,,1,72000.0,,Star Wars: A Galactic Spectacular,1,68400.0,,Fantasmic!,1,0,,,,,2,66600.0,71100.0,Rivers of Light
2018-01-08,value,2,7,1,1,2018,CHRISTMAS,0,value,,,0,0,CHRISTMAS,70.77,49.84,60.31,,0,,0,,0,,0,,85%,88%,90%,95%,88%,91%,93%,100%,89%,82%,86%,92%,77%,82%,100%,100%,100%,100%,100%,100%,82%,91%,94%,0,0,0,0,11.0,12.0,12.25,0,0,0,0,0,0,0,1,12.0,12.0,14.0,0,1,0,0,0,0,11.0,13.0,11.0,1,0,0,0,0,0,12.0,11.0,11.0,32400,72000,11.0,32400,72000,32400,75600,12.0,32400,72000,11.0,32400,75600,12.0,32400,75600,32400,75600,12.0,32400,75600,12.0,32400,72000,11.0,32400,72000,32400,75600,12.0,32400,72000,11.0,32400,72000,11.0,28800,72000,32400,72000,11.0,32400,72000,11.0,70.3,49.4,0.08,435057,380763,301871,233577,42595243,36666337,28771129,22787723,1,54000.0,,Disney Festival of Fantasy Parade,0,,,,1,72000.0,,Happily Ever After,1,75600.0,,IllumiNations: Reflections of Earth,0,,,1,72000.0,,Star Wars: A Galactic Spectacular,1,68400.0,,Fantasmic!,1,0,,,,,2,66600.0,71100.0,Rivers of Light
2018-01-09,value,3,8,1,1,2018,CHRISTMAS,0,value,,,0,0,CHRISTMAS,75.15,59.89,67.52,emm,1,,0,,0,,0,,92%,98%,100%,96%,99%,97%,93%,100%,100%,100%,100%,92%,100%,100%,100%,100%,100%,100%,100%,100%,100%,91%,94%,0,0,0,0,12.25,11.0,13.0,0,1,0,0,0,1,0,0,14.0,12.0,12.0,0,0,0,0,0,0,11.0,11.0,11.0,0,1,0,0,0,0,11.0,12.0,11.0,32400,72000,11.0,27900,72000,32400,72000,11.0,32400,72000,11.0,32400,75600,12.0,32400,82800,32400,75600,12.0,32400,75600,12.0,32400,72000,11.0,32400,72000,32400,72000,11.0,32400,72000,11.0,32400,72000,11.0,32400,72000,32400,72000,11.0,32400,72000,11.0,70.3,49.3,0.11,435057,380763,301871,233577,42595243,36666337,28771129,22787723,1,54000.0,,Disney Festival of Fantasy Parade,0,,,,1,72000.0,,Happily Ever After,1,75600.0,,IllumiNations: Reflections of Earth,0,,,1,72000.0,,Star Wars: A Galactic Spectacular,1,68400.0,,Fantasmic!,1,0,,,,,2,66600.0,71100.0,Rivers of Light
2018-01-10,value,4,9,1,1,2018,WINTER,0,value,,,0,0,WINTER,74.25,65.47,69.86,,0,,0,,0,,0,,92%,98%,100%,96%,99%,96%,93%,100%,100%,100%,100%,92%,100%,100%,100%,100%,100%,88%,100%,100%,100%,91%,94%,0,0,0,1,13.0,12.25,11.0,0,0,0,0,1,0,1,0,12.0,14.0,13.0,0,0,0,0,0,0,11.0,11.0,11.0,0,0,0,0,0,0,11.0,11.0,11.0,32400,72000,11.0,32400,79200,32400,72000,11.0,32400,72000,11.0,32400,75600,12.0,32400,75600,32400,75600,12.0,32400,75600,12.0,32400,72000,11.0,32400,72000,32400,72000,11.0,32400,72000,11.0,32400,72000,11.0,32400,72000,32400,72000,11.0,32400,72000,11.0,70.3,49.3,0.08,435057,380763,301871,233577,42595243,36666337,28771129,22787723,1,54000.0,,Disney Festival of Fantasy Parade,0,,,,1,72000.0,,Happily Ever After,1,75600.0,,IllumiNations: Reflections of Earth,0,,,1,72000.0,,Star Wars: A Galactic Spectacular,1,68400.0,,Fantasmic!,1,0,,,,,2,66600.0,71100.0,Rivers of Light
