park_date,wait_hour,attraction_name,wait_minutes_actual_avg,wait_minutes_posted_avg,attraction_wait_per_hundred_average,attraction_duration,attraction_park,attraction_land,park_open,park_close,park_extra_magic_morning,park_extra_magic_evening,park_ticket_season,park_temperature_average,park_temperature_high,attraction_short_name
2018-01-01,8,DINOSAUR,,15.0,3.0,3.5,Disney's Animal Kingdom,DinoLand U.S.A.,08:00:00,20:00:00,0,0,peak,50.56,58.63,DINOSAUR
2018-01-01,9,DINOSAUR,,18.3333333333333,3.0,3.5,Disney's Animal Kingdom,DinoLand U.S.A.,08:00:00,20:00:00,0,0,peak,50.56,58.63,DINOSAUR
2018-01-01,10,DINOSAUR,,23.75,3.0,3.5,Disney's Animal Kingdom,DinoLand U.S.A.,08:00:00,20:00:00,0,0,peak,50.56,58.63,DINOSAUR
2018-01-01,11,DINOSAUR,,24.0,3.0,3.5,Disney's Animal Kingdom,DinoLand U.S.A.,08:00:00,20:00:00,0,0,peak,50.56,58.63,DINOSAUR
2018-01-01,12,DINOSAUR,,31.875,3.0,3.5,Disney's Animal Kingdom,DinoLand U.S.A.,08:00:00,20:00:00,0,0,peak,50.56,58.63,DINOSAUR
2018-01-01,13,DINOSAUR,27.0,45.4545454545455,3.0,3.5,Disney's Animal Kingdom,DinoLand U.S.A.,08:00:00,20:00:00,0,0,peak,50.56,58.63,DINOSAUR
2018-01-01,14,DINOSAUR,,51.6666666666667,3.0,3.5,Disney's Animal Kingdom,DinoLand U.S.A.,08:00:00,20:00:00,0,0,peak,50.56,58.63,DINOSAUR
2018-01-01,15,DINOSAUR,,36.6666666666667,3.0,3.5,Disney's Animal Kingdom,DinoLand U.S.A.,08:00:00,20:00:00,0,0,peak,50.56,58.63,DINOSAUR
2018-01-01,16,DINOSAUR,,36.5,3.0,3.5,Disney's Animal Kingdom,DinoLand U.S.A.,08:00:00,20:00:00,0,0,peak,50.56,58.63,DINOSAUR
2018-01-01,17,DINOSAUR,4.0,23.0,3.0,3.5,Disney's Animal Kingdom,DinoLand U.S.A.,08:00:00,20:00:00,0,0,peak,50.56,58.63,DINOSAUR
2018-01-01,18,DINOSAUR,,18.0,3.0,3.5,Disney's Animal Kingdom,DinoLand U.S.A.,08:00:00,20:00:00,0,0,peak,50.56,58.63,DINOSAUR
2018-01-01,19,DINOSAUR,,11.6666666666667,3.0,3.5,Disney's Animal Kingdom,DinoLand U.S.A.,08:00:00,20:00:00,0,0,peak,50.56,58.63,DINOSAUR
2018-01-02,7,DINOSAUR,,5.0,3.0,3.5,Disney's Animal Kingdom,DinoLand U.S.A.,08:00:00,20:00:00,0,0,peak,48.61,53.65,DINOSAUR
2018-01-02,8,DINOSAUR,,8.5,3.0,3.5,Disney's Animal Kingdom,DinoLand U.S.A.,08:00:00,20:00:00,0,0,peak,48.61,53.65,DINOSAUR
2018-01-02,9,DINOSAUR,,22.2222222222222,3.0,3.5,Disney's Animal Kingdom,DinoLand U.S.A.,08:00:00,20:00:00,0,0,peak,48.61,53.65,DINOSAUR
2018-01-02,10,DINOSAUR,,66.0,3.0,3.5,Disney's Animal Kingdom,DinoLand U.S.A.,08:00:00,20:00:00,0,0,peak,48.61,53.65,DINOSAUR
2018-01-02,11,DINOSAUR,,100.714285714286,3.0,3.5,Disney's Animal Kingdom,DinoLand U.S.A.,08:00:00,20:00:00,0,0,peak,48.61,53.65,DINOSAUR
