"park_date","wait_hour","attraction_name","wait_minutes_actual_avg","wait_minutes_posted_avg","attraction_wait_per_hundred_average","attraction_duration","attraction_park","attraction_land","park_open","park_close","park_extra_magic_morning","park_extra_magic_evening","park_ticket_season","park_temperature_average","park_temperature_high","attraction_short_name"
2018-06-30,7,"Alien Swirling Saucers",NA,150,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,23:00:00,0,0,"peak",79.44,85.29,"Alien Saucers"
2018-06-30,8,"Alien Swirling Saucers",NA,127.083333333333,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,23:00:00,0,0,"peak",79.44,85.29,"Alien Saucers"
2018-06-30,9,"Alien Swirling Saucers",NA,91.1111111111111,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,23:00:00,0,0,"peak",79.44,85.29,"Alien Saucers"
2018-06-30,10,"Alien Swirling Saucers",NA,136,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,23:00:00,0,0,"peak",79.44,85.29,"Alien Saucers"
2018-06-30,11,"Alien Swirling Saucers",NA,173.333333333333,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,23:00:00,0,0,"peak",79.44,85.29,"Alien Saucers"
2018-06-30,12,"Alien Swirling Saucers",NA,105.555555555556,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,23:00:00,0,0,"peak",79.44,85.29,"Alien Saucers"
2018-06-30,13,"Alien Swirling Saucers",NA,78.3333333333333,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,23:00:00,0,0,"peak",79.44,85.29,"Alien Saucers"
2018-06-30,14,"Alien Swirling Saucers",NA,141.111111111111,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,23:00:00,0,0,"peak",79.44,85.29,"Alien Saucers"
2018-06-30,15,"Alien Swirling Saucers",37,113.888888888889,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,23:00:00,0,0,"peak",79.44,85.29,"Alien Saucers"
2018-06-30,16,"Alien Swirling Saucers",49,97.5,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,23:00:00,0,0,"peak",79.44,85.29,"Alien Saucers"
2018-06-30,17,"Alien Swirling Saucers",NA,98.3333333333333,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,23:00:00,0,0,"peak",79.44,85.29,"Alien Saucers"
2018-06-30,18,"Alien Swirling Saucers",NA,90,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,23:00:00,0,0,"peak",79.44,85.29,"Alien Saucers"
2018-06-30,19,"Alien Swirling Saucers",NA,150,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,23:00:00,0,0,"peak",79.44,85.29,"Alien Saucers"
2018-06-30,20,"Alien Swirling Saucers",NA,144.545454545455,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,23:00:00,0,0,"peak",79.44,85.29,"Alien Saucers"
2018-06-30,21,"Alien Swirling Saucers",NA,97.2222222222222,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,23:00:00,0,0,"peak",79.44,85.29,"Alien Saucers"
2018-06-30,22,"Alien Swirling Saucers",51.5,54.0909090909091,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,23:00:00,0,0,"peak",79.44,85.29,"Alien Saucers"
2018-06-30,23,"Alien Swirling Saucers",NA,60,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,23:00:00,0,0,"peak",79.44,85.29,"Alien Saucers"
2018-07-01,6,"Alien Swirling Saucers",NA,5,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",80.61,88.42,"Alien Saucers"
2018-07-01,7,"Alien Swirling Saucers",25.5,33.6363636363636,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",80.61,88.42,"Alien Saucers"
2018-07-01,8,"Alien Swirling Saucers",47,65,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",80.61,88.42,"Alien Saucers"
2018-07-01,9,"Alien Swirling Saucers",66,61.3636363636364,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",80.61,88.42,"Alien Saucers"
2018-07-01,10,"Alien Swirling Saucers",NA,76.6666666666667,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",80.61,88.42,"Alien Saucers"
2018-07-01,11,"Alien Swirling Saucers",NA,63.3333333333333,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",80.61,88.42,"Alien Saucers"
2018-07-01,12,"Alien Swirling Saucers",NA,77.0833333333333,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",80.61,88.42,"Alien Saucers"
2018-07-01,13,"Alien Swirling Saucers",31,64.5,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",80.61,88.42,"Alien Saucers"
2018-07-01,14,"Alien Swirling Saucers",39,55,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",80.61,88.42,"Alien Saucers"
2018-07-01,15,"Alien Swirling Saucers",NA,51.1111111111111,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",80.61,88.42,"Alien Saucers"
2018-07-01,16,"Alien Swirling Saucers",43,45,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",80.61,88.42,"Alien Saucers"
2018-07-01,17,"Alien Swirling Saucers",40.5,45.5,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",80.61,88.42,"Alien Saucers"
2018-07-01,18,"Alien Swirling Saucers",NA,49,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",80.61,88.42,"Alien Saucers"
2018-07-01,19,"Alien Swirling Saucers",NA,53.8888888888889,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",80.61,88.42,"Alien Saucers"
2018-07-01,20,"Alien Swirling Saucers",24,53,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",80.61,88.42,"Alien Saucers"
2018-07-01,21,"Alien Swirling Saucers",NA,49.4444444444444,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",80.61,88.42,"Alien Saucers"
2018-07-01,22,"Alien Swirling Saucers",NA,44,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",80.61,88.42,"Alien Saucers"
2018-07-02,6,"Alien Swirling Saucers",NA,10,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",82.9,92.27,"Alien Saucers"
2018-07-02,7,"Alien Swirling Saucers",20.5,44.0909090909091,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",82.9,92.27,"Alien Saucers"
2018-07-02,8,"Alien Swirling Saucers",NA,68.5,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",82.9,92.27,"Alien Saucers"
2018-07-02,9,"Alien Swirling Saucers",NA,68.8888888888889,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",82.9,92.27,"Alien Saucers"
2018-07-02,10,"Alien Swirling Saucers",NA,51.5,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",82.9,92.27,"Alien Saucers"
2018-07-02,11,"Alien Swirling Saucers",NA,67.7777777777778,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",82.9,92.27,"Alien Saucers"
2018-07-02,12,"Alien Swirling Saucers",NA,67.2222222222222,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",82.9,92.27,"Alien Saucers"
2018-07-02,13,"Alien Swirling Saucers",NA,72.7272727272727,10,2.5,"Disney's Hollywood Studios","Toy Story Land",08:00:00,22:30:00,1,0,"peak",82.9,92.27,"Alien Saucers"
