park_date,wait_hour,attraction_name,wait_minutes_posted_avg,attraction_duration,attraction_park,attraction_land,park_open,park_close,park_extra_magic_morning,park_extra_magic_evening,park_ticket_season,park_temperature_average,park_temperature_high,attraction_short_name
2018-06-30,7,Alien Swirling Saucers,150,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,23:00:00,0,0,peak,79.44,85.29,Alien Saucers
2018-06-30,8,Alien Swirling Saucers,127.0833333,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,23:00:00,0,0,peak,79.44,85.29,Alien Saucers
2018-06-30,9,Alien Swirling Saucers,91.11111111,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,23:00:00,0,0,peak,79.44,85.29,Alien Saucers
2018-06-30,10,Alien Swirling Saucers,136,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,23:00:00,0,0,peak,79.44,85.29,Alien Saucers
2018-06-30,11,Alien Swirling Saucers,173.3333333,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,23:00:00,0,0,peak,79.44,85.29,Alien Saucers
2018-06-30,12,Alien Swirling Saucers,105.5555556,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,23:00:00,0,0,peak,79.44,85.29,Alien Saucers
2018-06-30,13,Alien Swirling Saucers,78.33333333,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,23:00:00,0,0,peak,79.44,85.29,Alien Saucers
2018-06-30,14,Alien Swirling Saucers,141.1111111,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,23:00:00,0,0,peak,79.44,85.29,Alien Saucers
2018-06-30,15,Alien Swirling Saucers,113.8888889,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,23:00:00,0,0,peak,79.44,85.29,Alien Saucers
2018-06-30,16,Alien Swirling Saucers,97.5,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,23:00:00,0,0,peak,79.44,85.29,Alien Saucers
2018-06-30,17,Alien Swirling Saucers,98.33333333,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,23:00:00,0,0,peak,79.44,85.29,Alien Saucers
2018-06-30,18,Alien Swirling Saucers,90,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,23:00:00,0,0,peak,79.44,85.29,Alien Saucers
2018-06-30,19,Alien Swirling Saucers,150,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,23:00:00,0,0,peak,79.44,85.29,Alien Saucers
2018-06-30,20,Alien Swirling Saucers,144.5454545,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,23:00:00,0,0,peak,79.44,85.29,Alien Saucers
2018-06-30,21,Alien Swirling Saucers,97.22222222,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,23:00:00,0,0,peak,79.44,85.29,Alien Saucers
2018-06-30,22,Alien Swirling Saucers,54.09090909,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,23:00:00,0,0,peak,79.44,85.29,Alien Saucers
2018-06-30,23,Alien Swirling Saucers,60,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,23:00:00,0,0,peak,79.44,85.29,Alien Saucers
2018-07-01,6,Alien Swirling Saucers,5,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,80.61,88.42,Alien Saucers
2018-07-01,7,Alien Swirling Saucers,33.63636364,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,80.61,88.42,Alien Saucers
2018-07-01,8,Alien Swirling Saucers,65,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,80.61,88.42,Alien Saucers
2018-07-01,9,Alien Swirling Saucers,61.36363636,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,80.61,88.42,Alien Saucers
2018-07-01,10,Alien Swirling Saucers,76.66666667,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,80.61,88.42,Alien Saucers
2018-07-01,11,Alien Swirling Saucers,63.33333333,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,80.61,88.42,Alien Saucers
2018-07-01,12,Alien Swirling Saucers,77.08333333,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,80.61,88.42,Alien Saucers
2018-07-01,13,Alien Swirling Saucers,64.5,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,80.61,88.42,Alien Saucers
2018-07-01,14,Alien Swirling Saucers,55,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,80.61,88.42,Alien Saucers
2018-07-01,15,Alien Swirling Saucers,51.11111111,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,80.61,88.42,Alien Saucers
2018-07-01,16,Alien Swirling Saucers,45,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,80.61,88.42,Alien Saucers
2018-07-01,17,Alien Swirling Saucers,45.5,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,80.61,88.42,Alien Saucers
2018-07-01,18,Alien Swirling Saucers,49,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,80.61,88.42,Alien Saucers
2018-07-01,19,Alien Swirling Saucers,53.88888889,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,80.61,88.42,Alien Saucers
2018-07-01,20,Alien Swirling Saucers,53,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,80.61,88.42,Alien Saucers
2018-07-01,21,Alien Swirling Saucers,49.44444444,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,80.61,88.42,Alien Saucers
2018-07-01,22,Alien Swirling Saucers,44,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,80.61,88.42,Alien Saucers
2018-07-02,6,Alien Swirling Saucers,10,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,82.9,92.27,Alien Saucers
2018-07-02,7,Alien Swirling Saucers,44.09090909,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,82.9,92.27,Alien Saucers
2018-07-02,8,Alien Swirling Saucers,68.5,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,82.9,92.27,Alien Saucers
2018-07-02,9,Alien Swirling Saucers,68.88888889,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,82.9,92.27,Alien Saucers
2018-07-02,10,Alien Swirling Saucers,51.5,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,82.9,92.27,Alien Saucers
2018-07-02,11,Alien Swirling Saucers,67.77777778,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,82.9,92.27,Alien Saucers
2018-07-02,12,Alien Swirling Saucers,67.22222222,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,82.9,92.27,Alien Saucers
2018-07-02,13,Alien Swirling Saucers,72.72727273,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,82.9,92.27,Alien Saucers
2018-07-02,14,Alien Swirling Saucers,90,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,82.9,92.27,Alien Saucers
2018-07-02,15,Alien Swirling Saucers,98.88888889,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,82.9,92.27,Alien Saucers
2018-07-02,16,Alien Swirling Saucers,103.3333333,2.5,Disney's Hollywood Studios,Toy Story Land,8:00:00,22:30:00,1,0,peak,82.9,92.27,Alien Saucers
